source_index,text,true_labels,predicted_labels,missed_labels,extra_labels,false_negative_count,false_positive_count
132,My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be really great. It's long so it's a little annoying when he's ready to play and I'm not yet but overall it's a really fun activity that we're doing and appreciating together. It gives me many warm fuzzy feelings that I can share an appreciation for art and story with him like that.,"calm, happy, satisfied","calm, excited, happy, satisfied",,excited,0,1
133,My grandson was born two months before his due date. I got the chance to hold him for the first time yesterday. What a wonderful feeling!,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
134,"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.","anxious, frustrated, sad","calm, frustrated, satisfied","anxious, sad","calm, satisfied",2,2
144,My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused,"angry, disgusted, frustrated, sad","frustrated, happy, proud, satisfied","angry, disgusted, sad","happy, proud, satisfied",3,3
146,"My family gives me purpose and helps me diffuse from the stresses of work and the world. My children, their joy, innocence, and silliness all bring me joy.","happy, satisfied","calm, happy, proud, satisfied",,"calm, proud",0,2
150,My day was more productive than I feared it might not be. I reached my goal and surpassed it leaving me happy and fulfilled.,"happy, proud, satisfied","excited, happy, proud, satisfied",,excited,0,1
151,My day was good because my only son received three awards for academics and character. I was very proud of him.,"happy, proud","happy, proud",,,0,0
152,"My daughter was going through old photos at her house, and posted and texted some of the pictures to me. They brought back a lot of happy memories and some that made me feel very nostalgic and even a bit melancholy. It is so easy to remember those times with great fondness, but hard a bit when I look back and didn't realize how carefree those days were, compared to what they are now. I miss my kids when they were little and growing up and discovering new things and interests.","calm, happy, nostalgic","excited, happy, nostalgic, proud, satisfied",calm,"excited, proud, satisfied",1,3
153,"My daughter is a figure skater. She was practing yesterday afternoon at the rink running through her program  One of the moms of another skater came over to me and lavished praise on how beautiful and well done my daughters program is. This came from a mom of a girl similar to daughter in age, it meant alot to me.",proud,"happy, nostalgic, proud, satisfied",,"happy, nostalgic, satisfied",0,3
159,My blood analyses resulted very good for my age.,calm,"calm, happy, proud, satisfied",,"happy, proud, satisfied",0,3
160,My adult daughter called me with a personal problem yesterday and ask for (and hoped for) my help. It was a bit difficult but I was able to help her and she was very grateful. I'm proud that I adult children respect me and know they can come to me for anything and it makes me very happy to help them.,proud,"excited, happy, proud, satisfied",,"excited, happy, satisfied",0,3
167,it was really good.  i got such a buzz off from the endorphines!,"excited, happy","calm, excited, happy, proud, satisfied, surprised",,"calm, proud, satisfied, surprised",0,4
172,It was a good day worked out felt more energized and had a good overall workout,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
181,"So yesterday, I spent most of my working time testing and debugging the new code I wrote to automatically log a user back in when they time out, AND run whatever command they were trying to run when the program realized they'd timed out. The login part works great! And the running the command part works too - as long as there's only ONE command. If a single action, like a click, triggers TWO commands - like for instance, if clicking anywhere in a widget selects it, and clicking a button within it also contacts the DB - then only the first one runs and I CAN'T FIGURE OUT WHY. I can't debug it because every time I pause the code to step through it, the behavior changes! I suppose that in itself helps me narrow it down some - it must be a timing issue in some way - but I'm really stumped. I'll work on it some more today, I guess. I hate bugs I can't trace well, I feel like I don't have a good handle on how to find them. I mostly just stare at the code until inspiration strikes.","confused, frustrated, proud","anxious, confused, excited, frustrated, happy, proud, satisfied, surprised",,"anxious, excited, happy, satisfied, surprised",0,5
185,I'm glad to be back home daily to a loving husband who doesn't make me angry.  My coworker today complain how her husband like and that always make me feel glad that I have one that is wonderful.,"calm, happy, satisfied","calm, excited, happy, proud, satisfied",,"excited, proud",0,2
189,I worked out which is really important to me. I have been working on my health lately.,"excited, happy, proud","calm, excited, happy, proud, satisfied",,"calm, satisfied",0,2
190,I worked out in the morning and the afternoon even when I did not feel like it. once I started I felt better.,"happy, proud","calm, proud, satisfied",happy,"calm, satisfied",1,2
195,I worked all day yesterday so it was one of few things I did yesterday but I do not consider this job one of the most important jobs I've had overall. It is important to me in that it is how I support myself. I still try my hardest and am conscientious at work.,satisfied,"frustrated, proud, satisfied",,"frustrated, proud",0,2
201,"I woke up early and exercised in the morning yesterday. I've been trying to make it a habit, so I was proud of myself for keeping it up. I was also very energized after I finished exercising! I think I'll be able to keep up exercising every morning, it was pretty fun and it'll be good for me in the long run.","excited, happy, proud","anxious, excited, proud",happy,anxious,1,1
205,I went to my parents house and my sister was also there with her daughters. It was a lot of fun to get to play with the kids and see my family.,"excited, happy","excited, happy, nostalgic, proud, satisfied",,"nostalgic, proud, satisfied",0,3
214,I went for a walk today. Our neighbor was walking Breslin and Breslin started up my driveway when he saw me. Breslin is a dog I have had to ask the owner to keep out of our yard previously but he is a beautiful and very nice dog. I reminded Breslin to stay out of our yard and his owner called him back. I then complimented Bres because he is such a good dog. The walk was special because I have not taken one for over a week. I do not know when it happened but I used to walk every day and now it is only occasionally. I like the thought of returning to the walk habits.,"happy, proud, satisfied","anxious, calm, frustrated, happy, surprised","proud, satisfied","anxious, calm, frustrated, surprised",2,4
217,I went for a run because I have a schedule. It makes me feel a lot calmer and relaxed. I hate it before and during it but afterwards I feel content.,"calm, satisfied","calm, excited, proud, satisfied",,"excited, proud",0,2
219,I watched TV with my daughter last night. We don't get many chances to watch something just the two of us. It was only a half hour but it was nice.,"calm, happy","calm, happy, satisfied",,satisfied,0,1
226,I was watching tv in my room alone but i didnt get to watch enough. I felt anxious and annoyed that i couldnt really relax.,calm,"anxious, calm, satisfied",,"anxious, satisfied",0,2
230,I was surrounded by friends for the first time in a long time. It made me very excited since we got to spend so much time together and couch up.,"excited, happy, proud","calm, excited, happy, nostalgic, satisfied",proud,"calm, nostalgic, satisfied",1,3
232,I was running a program and it worked well and I can finish my analysis.,happy,"excited, happy, proud",,"excited, proud",0,2
251,I was attempting to read a book and couldn't oncentrate on it at all. I felt like I couldn't remember the last sentence I had read.,"awkward, frustrated","anxious, calm, excited, satisfied","awkward, frustrated","anxious, calm, excited, satisfied",2,4
253,I was actually able to get some repair work done on my home. This is a sort of work project because I work directly below the area I worked on (My home office),satisfied,"anxious, proud, satisfied",,"anxious, proud",0,2
262,i try harder to talk very much with all my family because i think its the most easiest form to get their hearts and be very compresible,"excited, happy, proud","calm, happy, satisfied","excited, proud","calm, satisfied",2,2
278,I spent the evening playing board games with my friends. One of my best friends in life was in town from Seattle. We had a really great time.,satisfied,"calm, excited, happy, nostalgic, satisfied",,"calm, excited, happy, nostalgic",0,4
284,"I spent over an hour on my exercise bike in the basement. While I exercised, I read a new novel called the Deserter. It was enjoyable.","calm, happy, satisfied","excited, happy, proud, satisfied",calm,"excited, proud",1,2
293,I saw my lover and we spent quality time together. I was truly enjoyed by everything that we shared.,excited,"calm, excited, happy, satisfied",,"calm, happy, satisfied",0,3
295,I recieved some good news about my job yesterday. I was proud of myself because I am number 6 out of several hundred people for my accuracy. This validation that I received and the bonus that this will lead to excites me.,"excited, proud, satisfied","excited, happy, proud, satisfied",,happy,0,1
304,I played a game with a friend and it was just something fun to do. Something to help relax and help me keep my mind off of things. We played for some hours too so I had a lot of fun.,"calm, happy, satisfied","calm, excited, happy",satisfied,excited,1,1
315,i made a huge breakfast,excited,"excited, happy, satisfied",,"happy, satisfied",0,2
330,i have time to myself for myself. i love it,happy,"calm, happy, proud, satisfied",,"calm, proud, satisfied",0,3
335,I have been struggling to get our house ready to be sold. I know I have a lot of items that I need to get rid of or donate. I set a goal for myself to go through all of our families clothes and donate those things that we never wear or have outgrown. I was pleased to make it through all the closets and drawers and donated five bags of clothing. I really felt like I made the first step toward getting the house ready to be sold.,satisfied,"anxious, calm, happy, proud, satisfied",,"anxious, calm, happy, proud",0,4
343,I have a degenerative disease Inclusion Body Myositis in my skeletal muscles and must exercise regularly to slow down the progression of the disease and this is very frustrating.,frustrated,"frustrated, proud, satisfied",,"proud, satisfied",0,2
356,I had such an enjoyable meal yesterday. I had been craving it for so long. It was probably the highlight of my week.,"excited, happy, satisfied","calm, excited, happy, satisfied",,calm,0,1
372,I had alot of work,frustrated,"anxious, frustrated, satisfied",,"anxious, satisfied",0,2
375,"I had a really good workout yesterday. I start almost everyday with 90-120 minutes of excercise (I have missed 10 days this year) and yesterday was chest, shoulders, triceps and stair master. It was really hard and I made it through the entire thing. I was spent after and really liked the workout.","excited, happy, proud","calm, excited, happy, proud, satisfied",,"calm, satisfied",0,2
379,"I had a lot of work to get done yesterday and was quite apprehensive about whether I would be successful in completing it all. To my surprise and even with some interruptions, I was able to focus for a long period of time and get all my jobs done. I felt very satisfied and content when I left the office.","proud, satisfied","anxious, excited, happy, proud, satisfied",,"anxious, excited, happy",0,3
383,I had a great meal with friends,satisfied,"excited, happy",satisfied,"excited, happy",1,2
387,I had a great breakfast today. It gave me fuel for the day and tasted amazing.,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
389,"I had a good selection of tasks yesterday, and they exceeded my goals (in terms of hours worked and earnings.)  Knowing that the weather had turned cold and miserable, and that at the end of the week my work day's were going to be interrupted by other responsibilities, it was that much more satisfying that I could get more than the average amount of work accomplished yesterday.  I was also able to concentrate on/organize some upcoming chores and personal projects, especially some photography I want to accomplish. Earning more money now puts me at ease about missing some work time later this month when I pursue these types of personal projects.","calm, happy, satisfied","calm, frustrated, proud, satisfied",happy,"frustrated, proud",1,2
391,"I got to work out, it was hard, but satisfying. This is something that i have been denying myself and I finally am doing it again. I am grateful and happy about it",happy,"excited, happy, proud, satisfied",,"excited, proud, satisfied",0,3
393,I got to spend time with my family today which was important to me.,happy,"calm, happy, proud, satisfied",,"calm, proud, satisfied",0,3
396,I got to read the Bible and my favorite books on the subject of Christianity. It helped me become more at peace and loving towards myself and others.,happy,"calm, happy, proud, satisfied",,"calm, proud, satisfied",0,3
400,"I found out yesterday that my relative has endometriosis cancer. Somewhat, we had a feeling about the result but it still made us sad and angry at the same time. She had the symptoms and when the doctor asked them to come earlier than the scheduled appointment, we kind of got the clue. I hope she can be treated and healed.","anxious, sad","anxious, excited, frustrated, happy, satisfied, surprised",sad,"excited, frustrated, happy, satisfied, surprised",1,5
406,I felt very happy today because all the members of my family were together and we had a very good day eating dinner together and telling funny stories.,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
408,I felt very calm and relaxed yesterday while I was relaxing and reading. It was a very nice thing and I like to do it everyday.,"calm, happy, satisfied","calm, happy, satisfied",,,0,0
417,I felt as if my morning walk made me feel very refreshed and is vital to starting my day off right.,"proud, satisfied","calm, excited, proud, satisfied",,"calm, excited",0,2
418,I felt a bit nervous because I hadn't worked out in a while and I didn't know if my body would be able to handle the stress I was about to put it through personally. That was my biggest fear.,"afraid, anxious","calm, excited, happy, satisfied","afraid, anxious","calm, excited, happy, satisfied",2,4
419,"I feel that sometimes I can be at my best then I have days where I feel like I'm nothing, it's something that bothers me a lot",ashamed,"anxious, calm, frustrated, happy, proud, satisfied",ashamed,"anxious, calm, frustrated, happy, proud, satisfied",1,6
424,"I exercised yesterday as I'd planned, going for a power walk and then lifting weights after dinner.  I felt proud about being committed to it and getting it done, although I also found it challenging and dull.  I really had to push myself to start.  Once I started it wasn't bad though.  And now I want to keep doing this and getting in better and better shape.","anxious, bored, proud","excited, frustrated, happy, proud, satisfied","anxious, bored","excited, frustrated, happy, satisfied",2,4
437,"I came home from a hard day of work and not only did my husband put in wood, he also tended to the pets and made dinner. He did all of this before I got home. I was so appreciative and impressed that I actually called my best friend to talk about it.",excited,"happy, proud, satisfied, surprised",excited,"happy, proud, satisfied, surprised",1,4
441,"I answered an email to my sister in law about Thanksgiving dinner. I told her I would not eat some of the foods being served because I don't eat a lot and I eat very healthy compared to her. She got angry that I had the nerve to say that and was very short and terse in her answer back. I was confused because I didn't say anything mean or nasty, just told her my feelings.","confused, frustrated, sad","anxious, excited, happy, proud","confused, frustrated, sad","anxious, excited, happy, proud",3,4
452,"I am a Christian.  I pray a lot and rely on my faith, especially in hard times.  I went to the hospital to visit a sick friend.  We prayed together and I left feeling encouraged.","calm, happy, satisfied","excited, happy, satisfied",calm,excited,1,1
463,God is always a part of my dayHe makes me feel better when I am sad or having a rough time.,happy,"calm, happy, proud, satisfied",,"calm, proud, satisfied",0,3
466,Glen stopped by last night so we could go over the state elections from Tuesday. He keeps seeing hope in these results where I see a repeat of 2016 That's his faith as an acadeic in these idioy polls.,surprised,"excited, frustrated, happy, proud, surprised",,"excited, frustrated, happy, proud",0,4
468,Exercising feels like meditation it clears my mind and makes me feel energized.,calm,"calm, happy, proud, satisfied",,"happy, proud, satisfied",0,3
469,Every night we have dinner as a family. It means a lot to us as it's a special time together to be calm and relaxed outside of work and school.,"anxious, nostalgic","calm, excited, happy, satisfied","anxious, nostalgic","calm, excited, happy, satisfied",2,4
473,Completed the most important project of my career. Now I can move on to other important projects. Completely satisfied with my work.,"happy, proud, satisfied","happy, proud, satisfied",,,0,0
483,"All day, I struggled with period cramps and excessive bleeding. This is my first period in 10 months. I felt awful throughout the day so I was constantly reminded of it. Hot flashes, cramps, and having to change pads every hour or so.","disgusted, frustrated","anxious, calm, frustrated, satisfied",disgusted,"anxious, calm, satisfied",1,3
484,"After work, my husband and I put our daughter to bed and decided to start painting our new home. We worked together as a team to tape and start cutting in. We got a lot more done than I thought we would. We spend the night laughing and catching up with each other since he works pretty demanding hours.","anxious, happy, proud, satisfied","calm, excited, happy, proud, satisfied",anxious,"calm, excited",1,2
487,"A two mile morning walk in invigorating circumstances, coolness/wind, made me satisfied that I did so and proud as well.","excited, proud, satisfied","excited, proud, satisfied",,,0,0
491,"Yesterday we grilled salmon for dinner, even though it was 40º F outside and I had bought the salmon a week ago. We took a chance on it being bad, but it was delicious and no one got sick. I'm looking forward to grilling salmon again.","satisfied, surprised","calm, excited, happy, satisfied",surprised,"calm, excited, happy",1,3
495,"I was able to connect via phone with my old friend, Mary, yesterday, which was her birthday. We have been friends for over thirty years but we live thousands of miles apart for the past few year as so it has been hard to continue our communications. It made me realize the importance of enduring friendship as we caught up with each other’s lives on her special day, which turned out to be a happy and special day for me too.",nostalgic,"calm, happy, nostalgic, proud, satisfied",,"calm, happy, proud, satisfied",0,4
496,When I went home I hung out with my wife. We cuddled and watched youtube videos.,"calm, excited, happy","calm, excited, happy, proud, satisfied",,"proud, satisfied",0,2
498,"After my presentation, I headed back home to rest. I slept like 13 hours straight. I haven't had rest this long for a very long time!","happy, satisfied","calm, happy, satisfied",,calm,0,1
499,yesterday was so good with the boys. I had a deep conversation with Connor about his feelings. I helped Nicholas with his reading. And I just hung out with James.,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
502,Yesterday i was able to break my diet due to the celebration and enjoy a nice piece of a delicious German chocolate cake. i have been avoiding sweets and this was such a nice and decadent treat that i was able to enjoy without guilt because i know i had been good on my diet.,satisfied,"excited, happy, proud, satisfied",,"excited, happy, proud",0,3
507,My mom had her biopsy to test if she has cancer. I am very worried that she might have uterine cancer and it would be the fault of the doctors if it is more aggressive than we originally thought. The reason I blame them is that they have been denying her a hysterectomy for years despite her uterine fibroids cause her so much phyiscal pain and distress.,"angry, anxious, sad","anxious, excited, happy, proud, satisfied, surprised","angry, sad","excited, happy, proud, satisfied, surprised",2,5
509,The MOOC live webcast was great last night. I had some excellent insights for my own writing.,"excited, happy, proud, satisfied, surprised","calm, happy, satisfied","excited, proud, surprised",calm,3,1
510,Yesterday I finished my fourth week in a row of 30 minutes of exercise.,excited,"proud, satisfied",excited,"proud, satisfied",1,2
517,I was able to have dinner with family at a table. We don't often eat together but yesterday everyone was at home at the same time and we shared a feast. We enjoyed the communication we had and thoughts we shared. It was a fun evening and it made me appreciate for what I have in life. I felt very happy.,happy,"calm, excited, happy, nostalgic, proud, satisfied",,"calm, excited, nostalgic, proud, satisfied",0,5
520,"Though I was sick yesterday, my husband was there to take care of my every need and made me feel safe and content.",satisfied,"anxious, calm, happy",satisfied,"anxious, calm, happy",1,3
521,Yesterday my friends reminded me that I respected and valued. It felt nice to know that my friends consider me important and valued.,satisfied,"calm, excited, happy, proud, satisfied",,"calm, excited, happy, proud",0,4
524,Yesterday I chatted with my brother.  He was at the dmv so I just talked while he typed.  It was fun too see him.,"excited, surprised","excited, happy",surprised,happy,1,1
537,I am fairly committed to the gym and i would say it's the second most important thing I do. I had a pretty solid workout and overall felt satisfied.,"calm, satisfied","calm, excited, happy, proud, satisfied",,"excited, happy, proud",0,3
540,My family is always there for me. I am proud that I have them and we have each other. We can count on each other when times are hard,"happy, proud, satisfied","calm, excited, happy, proud, satisfied",,"calm, excited",0,2
546,"I wasn't feeling the gym, as I had hurt my groin a couple weeks ago, and it was still sore.  Either way, I went in there, did well and got into it.  I did a bunch of things that I think will help it heal, and I feel good about that.","proud, satisfied","excited, happy, satisfied",proud,"excited, happy",1,2
547,I had a test that I prepared for but I was still nervous.,anxious,"anxious, calm, excited, frustrated, proud",,"calm, excited, frustrated, proud",0,4
559,The fish fry and curry were appreciated by everyone but the most important acknowledgement was from Kailash aged five. He said 'grandma I love when you make fish for me'.,happy,"calm, happy, nostalgic, satisfied, surprised",,"calm, nostalgic, satisfied, surprised",0,4
565,I felt good today. Talking to my friends elevated my mood.,happy,"excited, happy, proud",,"excited, proud",0,2
580,The second most importan thing about my day and my life in general are my boys. I wouldn't be anything without them and that is noticeable to everyone who truly knows me. No matter how I am physically or mentally I will always strive to be the best I can for them.,"happy, proud, satisfied","anxious, calm, excited, happy, proud, satisfied",,"anxious, calm, excited",0,3
586,The work outs  I do are for my health and to give me strength and endurance.I always feel accomplished after each work out and weight workout,satisfied,"excited, happy, proud, satisfied",,"excited, happy, proud",0,3
600,"God is my everything, He not only created me, but He also sustains me. He gives me a reason to believe and hope even when things look grim.","calm, excited, happy, nostalgic, proud, satisfied, surprised","calm, frustrated","excited, happy, nostalgic, proud, satisfied, surprised",frustrated,6,1
604,"Work is good.  I like my job, I am getting promoted after the New year.  But it is also the most frustrating job.  Customers usually are horrible.","excited, frustrated","anxious, frustrated, proud, satisfied",excited,"anxious, proud, satisfied",1,3
625,"I need help getting some money to fix my house, but nobody in the family gives a damn about me.","anxious, frustrated, sad","frustrated, happy, satisfied","anxious, sad","happy, satisfied",2,2
627,"I spoke to both of my parents yesterday, my dad is doing well, and I talked with my mom about wedding planning. She was actually really nice and excited about my plans and didn't say that they were awful or try to tell me what to do. It was great because she's usually very critical of me.","excited, happy, surprised","calm, happy, proud","excited, surprised","calm, proud",2,2
641,I exercised and it felt normal to be in my routine. It's boring but I feel cam and less stressed.,"bored, calm, satisfied","proud, satisfied","bored, calm",proud,2,1
642,I had Chipotle for dinner which is usually something that I can not afford but I splurged a bit and it was delicious.,happy,"calm, happy, satisfied",,"calm, satisfied",0,2
645,I went to the gym. It felt good to exercise and work off some of the holiday pounds I had gained.,satisfied,"excited, proud, satisfied",,"excited, proud",0,2
646,I tried out a new homemade biscuit recipe with my partner to take my mind off of things,happy,"excited, happy, proud, satisfied",,"excited, proud, satisfied",0,3
647,I took my time and on my own went to a medical facility in my health program for x-rays as followup.,proud,"excited, happy, satisfied",proud,"excited, happy, satisfied",1,3
653,so lucky to be free of pain and feeling good,"calm, happy, satisfied","happy, proud, satisfied",calm,proud,1,1
655,Execising on a daily basis makes me feel great about myself I must keep this up it is very important.,satisfied,"calm, excited, happy, proud, satisfied",,"calm, excited, happy, proud",0,4
656,Spending the day ( like every other day) babysitting my grandbabies. I love them so much and enjoy most every part of being with them during the day. I know how lucky I am to be able to babysit them every day.,"calm, happy, proud","calm, happy, satisfied",proud,satisfied,1,1
658,i had some tacos.  they were amazing!  made me feel so happy!,happy,"anxious, calm, excited, happy, proud, satisfied",,"anxious, calm, excited, proud, satisfied",0,5
659,"I couldn't sleep at all last night. I was tossing and turning and constantly waking back up. I don't know why, but it was a very long and lonely night.","anxious, frustrated","anxious, calm, frustrated",,calm,0,1
662,My relationship with God is so important. I thank him for my blessings and for all of the things that we have been through together in my life.,"calm, excited, nostalgic","calm, excited, happy, satisfied",nostalgic,"happy, satisfied",1,2
663,Spent time with the family went out and got something to eat had a good time,happy,"calm, excited, happy, satisfied",,"calm, excited, satisfied",0,3
667,I was excited frustrated and satisfied with my exercise.  I was excited that I did my daily routine and accomplished my goals.  It was frustration getting out of breath sometimes though.  But overall the satisfaction of completing it was great.,"excited, frustrated, satisfied","calm, excited, happy, proud, satisfied",frustrated,"calm, happy, proud",1,3
675,"After work and dinner, the only thing I wanted to do was watch the last episode of the TV show I've been watching for a while. The finale was so surprising, so awful in a way, and creepy, but so good! A great show!","excited, satisfied, surprised","calm, excited, happy, proud, satisfied",surprised,"calm, happy, proud",1,3
681,I was happy to get extra sleep because I needed it. It felt so good to relax and drift off.,"happy, satisfied","calm, happy, satisfied",,calm,0,1
685,I worked out after work yesterday. It felt good to exercise and I felt proud and accomplished.,"proud, satisfied","excited, proud, satisfied",,excited,0,1
686,I had not been getting enough sleep lately and I actually slept for 7 1/2 hours and felt rested and relaxed.,"calm, satisfied","calm, frustrated, satisfied",,frustrated,0,1
689,It was a cold day and I had a grilled cheese and tomato soup,happy,"calm, happy, satisfied",,"calm, satisfied",0,2
692,"I went to work yesterday, like I always do, but this day was kind of different. I felt like I got a lot done, so I felt really proud and satisfied. I was also calm for most of the day, which helped me focus on work and probably contributed to how productive I ended up being.","calm, proud, satisfied","bored, calm, proud, satisfied",,bored,0,1
697,When I had the vertigo attack I was able to make it to bed without falling down.  I took a three hour nap.  When I woke up I was a bit foggy like I normally after having  vertigo attack but I was able to do some work.,"calm, satisfied","bored, calm, frustrated, satisfied",,"bored, frustrated",0,2
698,"I bought a chicken from the store a few days ago - it was organic with no hormones, antibiotics or anything to be concerned about.  I was looking forward to roasting it in the oven and having a healthy meal.  I also bought some fresh asparagus, which I steamed to have with the chicken.  Everything was very tasty, and very healthy.","happy, satisfied","calm, excited, happy, satisfied, surprised",,"calm, excited, surprised",0,3
699,I had a good call with this person. I think we both thought positively about the conversation and are ready to move forward to the next stage.,satisfied,"anxious, calm, excited, happy",satisfied,"anxious, calm, excited, happy",1,4
709,I went on a short walk yesterday to get some exercise. I just took a stroll down to the park near my home. It was relaxing and fun.,"calm, happy","calm, happy, proud, satisfied",,"proud, satisfied",0,2
723,I refinished a part of a table. It was quite enjoyable,calm,"calm, happy, satisfied",,"happy, satisfied",0,2
728,"I was happy that my husband of 40 plus years and I worked together to cook a meal in the kitchen. After dinner and cleaning up, we had an enjoyable evening watching a favorite television program. It was a good, peaceful day.",happy,"calm, excited, happy, satisfied",,"calm, excited, satisfied",0,3
729,I was able to beat my time on running a mile by a significant margin from last time I tried.,proud,"excited, happy, proud, satisfied",,"excited, happy, satisfied",0,3
